Storm # ,Date ,Time ,Lat ,Lon ,"Max
Winds
(kt) ","Landfall
State ","Storm
Names "
3,2010-07-23,1430Z,25.4,80.2,35,FL,Bonnie 
7,9/3/2010*,1100Z,35.8,73.7,60,NC,Earl 
10,9/7/2010#,0600Z,26.2,97.7,50,TX,Hermine 
9,2011-08-28,0935Z,39.4,74.4,60,NJ,Irene 
9,2011-08-28,1300Z,40.6,74,55,NY,Irene 
13,2011-09-04,1030Z,29.6,92.1,40,LA,Lee 
2,2012-05-28,0410Z,30.2,81.4,55,FL,Beryl 
4,2012-06-26,2100Z,29.3,83.2,35,FL,Debby 
1,2013-06-06,2200Z ,29.5,83.4,50,FL,Andrea 
2014,None ,,,,,,
1,2015-05-10,1000Z ,33.8,78.8,40,SC,Ana 
2,2015-06-16,1645Z ,28.2,96.7,50,TX,Bill 
3,2016-06-07,0200Z ,29.8,83.6,45,FL,Colin 
11,9/13/2016% ,1300Z ,29,81.2,30,FL,Julia 
3,2017-06-22,0700Z ,29.8,93.7,45,LA,Cindy 
6,2017-07-31,1445Z ,27.4,82.7,50,FL,Emily 
9,2017-08-30,0800Z ,29.8,93.5,40,LA,Harvey 
12,9/22/2017*,0000Z ,39.5,68.2,40,MA,Jose 
15,9/27/2017*,1800Z ,36,72.6,45,NC,Maria 
1,2018-05-28,2100Z ,30.5,86,40,FL,Alberto 
7,2018-09-03,1115Z ,25,80.5,45,FL,Gordon 
7,2018-09-03,1315Z ,25.2,80.9,45,FL,Gordon 
9,2019-09-17,1745Z ,28.9,95.4,40,TX,Imelda 
2020s ,,,,,,,
1,5/18/2020*,1800Z ,35.5,74.7,35,NC,Arthur 
2,2020-05-27,1330Z ,32.9,79.7,45,SC,Bertha 
3,2020-06-07,2200Z ,29.3,89.8,45,LA,Cristobal 
6,2020-07-10,2000Z ,39.4,74.4,45,NJ,Fay 
22,2020-09-22,0245Z ,28.4,96.4,45,TX,Beta 
29,2020-11-09,0400Z ,24.9,80.7,55,FL,Eta 
29,2020-11-12,0920Z ,29.2,82.9,45,FL,Eta 
3,2021-06-19,0430Z ,29.2,91,40,LA,Claudette 
4,2021-06-28,2320Z ,32.3,80.5,35,SC,Danny 
5,2021-07-07,1430Z ,29.8,83.5,55,FL,Elsa 
5,2021-07-09,1500Z ,40.9,72.3,50,NY,Elsa 
